Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
THE ATRIA AT MEYER,"4,880,000","2,949.34","1,655",Apr-21,MEYER ROAD,Resale,Strata,274,"17,810",-,Condominium,1,Freehold,15,Rest of Central Region,21 to 25
PARC OLYMPIA,"755,000",796.54,948,Apr-21,FLORA DRIVE,Resale,Strata,74,"10,203",-,Condominium,1,99 yrs lease commencing from 2012,17,Outside Central Region,01 to 05
HIGHGATE,"1,690,888","1,302.44","1,298",Apr-21,TOH TUCK ROAD,Resale,Strata,121,"13,974",-,Condominium,1,Freehold,21,Rest of Central Region,06 to 10
WOODHAVEN,"690,000",624.31,"1,105",Apr-21,WOODGROVE AVENUE,Resale,Strata,58,"11,897",-,Condominium,1,99 yrs lease commencing from 2011,25,Outside Central Region,01 to 05
AMBER SKYE,"2,220,000","1,216.33","1,825",Apr-21,AMBER ROAD,Resale,Strata,113,"19,646",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
SKY HABITAT,"1,980,000","1,216.33","1,628",Apr-21,BISHAN STREET 15,Resale,Strata,113,"17,522",-,Condominium,1,99 yrs lease commencing from 2011,20,Rest of Central Region,31 to 35
KINGSFORD . HILLVIEW PEAK,"1,015,000",785.77,"1,292",Apr-21,HILLVIEW RISE,Resale,Strata,73,"13,904",-,Condominium,1,99 yrs lease commencing from 2012,23,Outside Central Region,01 to 05
ROSEWOOD,"820,000","1,173.28",699,Apr-21,ROSEWOOD DRIVE,Resale,Strata,109,"7,523",-,Condominium,1,99 yrs lease commencing from 2000,25,Outside Central Region,01 to 05
RIVERBANK @ FERNVALE,"1,500,000","1,334.74","1,124",Apr-21,FERNVALE CLOSE,Resale,Strata,124,"12,097",-,Condominium,1,99 yrs lease commencing from 2013,28,Outside Central Region,01 to 05
THE SANTORINI,"1,380,000","1,151.75","1,198",Apr-21,TAMPINES STREET 86,Resale,Strata,107,"12,897",-,Condominium,1,99 yrs lease commencing from 2013,18,Outside Central Region,11 to 15
PARC OASIS,"966,000","1,076.4",897,Apr-21,JURONG EAST AVENUE 1,Resale,Strata,100,"9,660",-,Condominium,1,99 yrs lease commencing from 1991,22,Outside Central Region,06 to 10
THE SEAFRONT ON MEYER,"5,000,000","2,292.73","2,181",Apr-21,MEYER ROAD,Resale,Strata,213,"23,474",-,Condominium,1,Freehold,15,Rest of Central Region,21 to 25
THE LINE @ TANJONG RHU,"2,330,000","1,065.64","2,186",Apr-21,TANJONG RHU ROAD,Resale,Strata,99,"23,535",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
NV RESIDENCES,"840,000",936.47,897,Apr-21,PASIR RIS GROVE,Resale,Strata,87,"9,655",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,01 to 05
THE WATERSIDE,"3,811,000","2,142.04","1,779",Apr-21,TANJONG RHU ROAD,Resale,Strata,199,"19,151",-,Condominium,1,Freehold,15,Rest of Central Region,21 to 25
COSTA RHU,"2,700,000","2,055.92","1,313",Apr-21,RHU CROSS,Resale,Strata,191,"14,136",-,Condominium,1,99 yrs lease commencing from 1994,15,Rest of Central Region,01 to 05
JOO CHIAT MANSIONS,"1,380,000","1,237.86","1,115",Apr-21,JOO CHIAT TERRACE,Resale,Strata,115,"12,000",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
VILLA MARINA,"1,280,000","1,496.2",856,Apr-21,JALAN SEMPADAN,Resale,Strata,139,"9,209",-,Condominium,1,99 yrs lease commencing from 1995,15,Outside Central Region,01 to 05
THE WATERSIDE,"4,029,960","2,400.37","1,679",Apr-21,TANJONG RHU ROAD,Resale,Strata,223,"18,072",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
COSTA RHU,"3,300,000","2,163.56","1,525",Apr-21,RHU CROSS,Resale,Strata,201,"16,418",-,Condominium,1,99 yrs lease commencing from 1994,15,Rest of Central Region,11 to 15
ELIAS GREEN,"1,300,000","1,668.42",779,Apr-21,ELIAS GREEN,Resale,Strata,155,"8,387",-,Condominium,1,99 yrs lease commencing from 1991,18,Outside Central Region,16 to 20
BULLION PARK,"1,468,000","1,259.39","1,166",Apr-21,LENTOR LOOP,Resale,Strata,117,"12,547",-,Condominium,1,Freehold,26,Outside Central Region,06 to 10
THE LUXURIE,"843,000",731.95,"1,152",Apr-21,COMPASSVALE ROAD,Resale,Strata,68,"12,397",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
FRAGRANT GARDENS,"1,220,000","1,205.57","1,012",Apr-21,UPPER PAYA LEBAR ROAD,Resale,Strata,112,"10,893",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
CENTRAL VIEW,"1,050,000","1,216.33",863,Apr-21,HOUGANG STREET 11,Resale,Strata,113,"9,292",-,Condominium,1,99 yrs lease commencing from 1998,19,Outside Central Region,06 to 10
J GATEWAY,"1,185,000",678.13,"1,747",Apr-21,GATEWAY DRIVE,Resale,Strata,63,"18,810",-,Condominium,1,99 yrs lease commencing from 2012,22,Outside Central Region,16 to 20
AMBER RESIDENCES,"3,900,000","2,217.38","1,759",Apr-21,AMBER ROAD,Resale,Strata,206,"18,932",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15
THE TROPICA,"865,000",990.29,873,Apr-21,TAMPINES AVENUE 1,Resale,Strata,92,"9,402",-,Condominium,1,99 yrs lease commencing from 1996,18,Outside Central Region,06 to 10
THE JADE,"1,100,000","1,011.82","1,087",Apr-21,BUKIT BATOK CENTRAL LINK,Resale,Strata,94,"11,702",-,Condominium,1,99 yrs lease commencing from 2001,23,Outside Central Region,06 to 10
VILLA MARINA,"1,280,000","1,151.75","1,111",Apr-21,JALAN SEMPADAN,Resale,Strata,107,"11,963",-,Condominium,1,99 yrs lease commencing from 1995,15,Outside Central Region,01 to 05
RIVERTREES RESIDENCES,"738,000",581.26,"1,270",Apr-21,FERNVALE CLOSE,Resale,Strata,54,"13,667",-,Apartment,1,99 yrs lease commencing from 2013,28,Outside Central Region,01 to 05
HILLSTA,"658,000",570.49,"1,153",Apr-21,PHOENIX ROAD,Resale,Strata,53,"12,415",-,Condominium,1,99 yrs lease commencing from 2011,23,Outside Central Region,11 to 15
PALM GARDENS,"880,000","1,205.57",730,Apr-21,HONG SAN WALK,Resale,Strata,112,"7,857",-,Condominium,1,99 yrs lease commencing from 1996,23,Outside Central Region,01 to 05
NORTHVALE,"912,000","1,270.15",718,Apr-21,CHOA CHU KANG LOOP,Resale,Strata,118,"7,729",-,Apartment,1,99 yrs lease commencing from 1995,23,Outside Central Region,01 to 05
KINGSFORD WATERBAY,"755,000",613.55,"1,231",Apr-21,UPPER SERANGOON VIEW,Resale,Strata,57,"13,246",-,Apartment,1,99 yrs lease commencing from 2014,19,Outside Central Region,01 to 05
