Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
SKIES MILTONIA,"820,000",710.42,"1,154",Jun-22,MILTONIA CLOSE,Resale,Strata,66,"12,424",-,Condominium,1,99 yrs lease commencing from 2012,27,Outside Central Region,01 to 05
THE SANTORINI,"870,000",753.48,"1,155",Jun-22,TAMPINES STREET 86,Resale,Strata,70,"12,429",-,Condominium,1,99 yrs lease commencing from 2013,18,Outside Central Region,06 to 10
THE CARPMAELINA,"1,300,000",979.52,"1,327",Jun-22,CARPMAEL ROAD,Resale,Strata,91,"14,286",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
CASTLE GREEN,"1,050,000",947.23,"1,108",Jun-22,YIO CHU KANG ROAD,Resale,Strata,88,"11,932",-,Condominium,1,99 yrs lease commencing from 1993,26,Outside Central Region,06 to 10
FLO RESIDENCE,"1,850,000","2,066.69",895,Jun-22,PUNGGOL FIELD WALK,Resale,Strata,192,"9,635",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,16 to 20
AURALIS,"1,338,000",871.88,"1,535",Jun-22,EAST COAST ROAD,Resale,Strata,81,"16,519",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
OASIS @ ELIAS,"870,000",979.52,888,Jun-22,ELIAS ROAD,Resale,Strata,91,"9,560",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,01 to 05
THE PANORAMA,"1,840,000","1,011.82","1,819",Jun-22,ANG MO KIO AVENUE 2,Resale,Strata,94,"19,574",-,Condominium,1,99 yrs lease commencing from 2013,20,Outside Central Region,16 to 20
MOUNTBATTEN SUITES,"720,000",753.48,956,Jun-22,MOUNTBATTEN ROAD,Resale,Strata,70,"10,286",-,Apartment,1,Freehold,15,Rest of Central Region,B1 to B5
GRAND REGENCY,"1,190,000",818.06,"1,455",Jun-22,JALAN RAJAWALI,Resale,Strata,76,"15,658",-,Apartment,1,Freehold,21,Rest of Central Region,06 to 10
TERRENE AT BUKIT TIMAH,"909,800",527.44,"1,725",Jun-22,JALAN JURONG KECHIL,Resale,Strata,49,"18,567",-,Condominium,1,999 yrs lease commencing from 1885,21,Rest of Central Region,01 to 05
Q BAY RESIDENCES,"1,160,000",914.94,"1,268",Jun-22,TAMPINES STREET 86,Resale,Strata,85,"13,647",-,Condominium,1,99 yrs lease commencing from 2012,18,Outside Central Region,16 to 20
ISUITES @ PALM,"850,000",635.08,"1,338",Jun-22,GLASGOW ROAD,Resale,Strata,59,"14,407",-,Apartment,1,999 yrs lease commencing from 1878,19,Outside Central Region,01 to 05
TERRASSE,"2,310,000","2,497.25",925,Jun-22,TERRASSE LANE,Resale,Strata,232,"9,957",-,Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,01 to 05
VIBES@UPPER SERANGOON,"925,000",850.36,"1,088",Jun-22,UPPER SERANGOON ROAD,Resale,Strata,79,"11,709",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
NORTHVALE,"827,000",925.7,893,Jun-22,CHOA CHU KANG LOOP,Resale,Strata,86,"9,616",-,Apartment,1,99 yrs lease commencing from 1995,23,Outside Central Region,01 to 05
THE SHORE RESIDENCES,"1,630,000",893.41,"1,824",Jun-22,AMBER ROAD,Resale,Strata,83,"19,639",-,Condominium,1,103 yrs lease commencing from 2009,15,Rest of Central Region,16 to 20
JEWEL @ BUANGKOK,"2,080,000","1,334.74","1,558",Jun-22,COMPASSVALE BOW,Resale,Strata,124,"16,774",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,06 to 10
Q BAY RESIDENCES,"1,270,000","1,033.34","1,229",Jun-22,TAMPINES STREET 86,Resale,Strata,96,"13,229",-,Condominium,1,99 yrs lease commencing from 2012,18,Outside Central Region,06 to 10
GRANDEUR 8,"1,515,000","1,194.8","1,268",Jun-22,ANG MO KIO CENTRAL 3,Resale,Strata,111,"13,649",-,Condominium,1,99 yrs lease commencing from 2002,20,Outside Central Region,06 to 10
SANCTUARY GREEN,"1,270,000",850.36,"1,493",Jun-22,TANJONG RHU ROAD,Resale,Strata,79,"16,076",-,Condominium,1,99 yrs lease commencing from 1997,15,Rest of Central Region,06 to 10
LA FIESTA,"1,550,000","1,259.39","1,231",Jun-22,SENGKANG SQUARE,Resale,Strata,117,"13,248",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,01 to 05
THE GLADES,"995,000",624.31,"1,594",Jun-22,BEDOK RISE,Resale,Strata,58,"17,155",-,Condominium,1,99 yrs lease commencing from 2013,16,Outside Central Region,06 to 10
THE SPRINGBLOOM,"1,850,000","1,539.25","1,202",Jun-22,SERANGOON AVENUE 3,Resale,Strata,143,"12,937",-,Condominium,1,99 yrs lease commencing from 1995,19,Outside Central Region,01 to 05
THE TAPESTRY,"938,000",602.78,"1,556",Jun-22,TAMPINES STREET 86,Resale,Strata,56,"16,750",-,Condominium,1,99 yrs lease commencing from 2017,18,Outside Central Region,01 to 05
A TREASURE TROVE,"1,440,000","1,044.11","1,379",Jun-22,PUNGGOL WALK,Resale,Strata,97,"14,845",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
THE WATERSIDE,"4,200,000","2,400.37","1,750",Jun-22,TANJONG RHU ROAD,Resale,Strata,223,"18,834",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
PARC ROSEWOOD,"570,000",430.56,"1,324",Jun-22,ROSEWOOD DRIVE,Resale,Strata,40,"14,250",-,Condominium,1,99 yrs lease commencing from 2011,25,Outside Central Region,01 to 05
PALM ISLES,"1,000,000",990.29,"1,010",Jun-22,FLORA DRIVE,Resale,Strata,92,"10,870",-,Condominium,1,99 yrs lease commencing from 2011,17,Outside Central Region,01 to 05
GRANDEUR 8,"1,650,000","1,227.1","1,345",Jun-22,ANG MO KIO CENTRAL 3,Resale,Strata,114,"14,474",-,Condominium,1,99 yrs lease commencing from 2002,20,Outside Central Region,11 to 15
RIVIERA RESIDENCES,"2,100,000","1,216.33","1,727",Jun-22,RIVIERA DRIVE,Resale,Strata,113,"18,584",-,Condominium,1,Freehold,16,Outside Central Region,06 to 10
STARS OF KOVAN,"835,000",516.67,"1,616",Jun-22,UPPER SERANGOON ROAD,Resale,Strata,48,"17,396",-,Apartment,1,99 yrs lease commencing from 2015,19,Outside Central Region,01 to 05
ECO,"900,000",635.08,"1,417",Jun-22,BEDOK SOUTH AVENUE 3,Resale,Strata,59,"15,254",-,Condominium,1,99 yrs lease commencing from 2012,16,Outside Central Region,11 to 15
EUPHONY GARDENS,"1,700,000","2,055.92",827,Jun-22,JALAN MATA AYER,Resale,Strata,191,"8,901",-,Condominium,1,99 yrs lease commencing from 1998,27,Outside Central Region,01 to 05
RIPPLE BAY,"900,000",785.77,"1,145",Jun-22,PASIR RIS LINK,Resale,Strata,73,"12,329",-,Condominium,1,99 yrs lease commencing from 2011,18,Outside Central Region,01 to 05
THE TENNERY,"760,000",613.55,"1,239",Jun-22,WOODLANDS ROAD,Resale,Strata,57,"13,333",-,Apartment,1,99 yrs lease commencing from 2010,23,Outside Central Region,06 to 10
UBER 388,"1,570,000",925.7,"1,696",Jun-22,UPPER EAST COAST ROAD,Resale,Strata,86,"18,256",-,Condominium,1,Freehold,16,Outside Central Region,01 to 05
THE MAYFAIR,"1,168,000","1,205.57",969,Jun-22,JURONG EAST STREET 32,Resale,Strata,112,"10,429",-,Condominium,1,99 yrs lease commencing from 1996,22,Outside Central Region,06 to 10
JADE RESIDENCES,"1,240,000",742.72,"1,670",Jun-22,LEW LIAN VALE,Resale,Strata,69,"17,971",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
AZALEA PARK CONDOMINIUM,"1,300,000","1,313.21",990,Jun-22,FLORA ROAD,Resale,Strata,122,"10,656",-,Condominium,1,999 yrs lease commencing from 1885,17,Outside Central Region,06 to 10
BREEZE BY THE EAST,"1,900,000","1,248.62","1,522",Jun-22,UPPER EAST COAST ROAD,Resale,Strata,116,"16,379",-,Condominium,1,Freehold,16,Outside Central Region,01 to 05
FOREST WOODS,"1,773,380","1,087.16","1,631",Jun-22,LORONG LEW LIAN,Resale,Strata,101,"17,558",-,Condominium,1,99 yrs lease commencing from 2016,19,Outside Central Region,01 to 05
THE NAUTICAL,"1,375,000","1,388.56",990,Jun-22,JALAN SENDUDOK,Resale,Strata,129,"10,659",-,Condominium,1,99 yrs lease commencing from 2011,27,Outside Central Region,01 to 05
MERAWOODS,"1,560,000","1,345.5","1,159",Jun-22,HILLVIEW AVENUE,Resale,Strata,125,"12,480",-,Condominium,1,999 yrs lease commencing from 1885,23,Outside Central Region,01 to 05
SANCTUARY GREEN,"2,310,000","1,711.48","1,350",Jun-22,TANJONG RHU ROAD,Resale,Strata,159,"14,528",-,Condominium,1,99 yrs lease commencing from 1997,15,Rest of Central Region,01 to 05
BLUWATERS 2,"1,350,000","1,205.57","1,120",Jun-22,JALAN LOYANG BESAR,Resale,Strata,112,"12,054",-,Condominium,1,946 yrs lease commencing from 1938,17,Outside Central Region,01 to 05
NORTH PARK RESIDENCES,"1,946,000","1,248.62","1,559",Jun-22,YISHUN CENTRAL 1,Resale,Strata,116,"16,776",-,Apartment,1,99 yrs lease commencing from 2015,27,Outside Central Region,01 to 05
HIGH PARK RESIDENCES,"850,000",581.26,"1,462",Jun-22,FERNVALE ROAD,Resale,Strata,54,"15,741",-,Apartment,1,99 yrs lease commencing from 2014,28,Outside Central Region,06 to 10
THE GLADES,"1,100,000",721.19,"1,525",Jun-22,BEDOK RISE,Resale,Strata,67,"16,418",-,Condominium,1,99 yrs lease commencing from 2013,16,Outside Central Region,06 to 10
THE SKYWOODS,"1,280,000",914.94,"1,399",Jun-22,DAIRY FARM HEIGHTS,Resale,Strata,85,"15,059",-,Condominium,1,99 yrs lease commencing from 2012,23,Outside Central Region,01 to 05
THE MAYFAIR,"1,158,000","1,184.04",978,Jun-22,JURONG EAST STREET 32,Resale,Strata,110,"10,527",-,Condominium,1,99 yrs lease commencing from 1996,22,Outside Central Region,01 to 05
WOODHAVEN,"745,000",645.84,"1,154",Jun-22,WOODGROVE AVENUE,Resale,Strata,60,"12,417",-,Condominium,1,99 yrs lease commencing from 2011,25,Outside Central Region,01 to 05
THE SHORE RESIDENCES,"1,040,000",592.02,"1,757",Jun-22,AMBER ROAD,Resale,Strata,55,"18,909",-,Condominium,1,103 yrs lease commencing from 2009,15,Rest of Central Region,01 to 05
PARC ROSEWOOD,"600,000",505.91,"1,186",Jun-22,ROSEWOOD DRIVE,Resale,Strata,47,"12,766",-,Condominium,1,99 yrs lease commencing from 2011,25,Outside Central Region,01 to 05
EMERY POINT,"2,090,000","1,302.44","1,605",Jun-22,IPOH LANE,Resale,Strata,121,"17,273",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
HIGH PARK RESIDENCES,"1,968,000","1,431.61","1,375",Jun-22,FERNVALE ROAD,Resale,Strata,133,"14,797",-,Apartment,1,99 yrs lease commencing from 2014,28,Outside Central Region,21 to 25
PARC ROSEWOOD,"588,000",430.56,"1,366",Jun-22,ROSEWOOD DRIVE,Resale,Strata,40,"14,700",-,Condominium,1,99 yrs lease commencing from 2011,25,Outside Central Region,01 to 05
ELIAS GREEN,"1,313,000","1,485.43",884,Jun-22,ELIAS GREEN,Resale,Strata,138,"9,514",-,Condominium,1,99 yrs lease commencing from 1991,18,Outside Central Region,01 to 05
THE LINE @ TANJONG RHU,"2,411,000","1,054.87","2,286",Jun-22,TANJONG RHU ROAD,Resale,Strata,98,"24,602",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
NORTH PARK RESIDENCES,"1,350,000",828.83,"1,629",Jun-22,YISHUN CENTRAL 1,Resale,Strata,77,"17,532",-,Apartment,1,99 yrs lease commencing from 2015,27,Outside Central Region,06 to 10
EAST VIEW 18,"1,388,888","1,162.51","1,195",Jun-22,RAMBUTAN ROAD,Resale,Strata,108,"12,860",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
KENSINGTON SQUARE,"1,240,000",828.83,"1,496",Jun-22,JALAN LOKAM,Resale,Strata,77,"16,104",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
PANDAN VALLEY,"2,600,000","1,668.42","1,558",Jun-22,PANDAN VALLEY,Resale,Strata,155,"16,774",-,Condominium,1,Freehold,21,Rest of Central Region,01 to 05
ARCHIPELAGO,"778,888",667.37,"1,167",Jun-22,BEDOK RESERVOIR ROAD,Resale,Strata,62,"12,563",-,Condominium,1,99 yrs lease commencing from 2011,16,Outside Central Region,01 to 05
A TREASURE TROVE,"1,240,000",914.94,"1,355",Jun-22,PUNGGOL WALK,Resale,Strata,85,"14,588",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
NV RESIDENCES,"1,341,000","1,270.15","1,056",Jun-22,PASIR RIS GROVE,Resale,Strata,118,"11,364",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,06 to 10
RIVERSAILS,"1,080,000",979.52,"1,103",Jun-22,UPPER SERANGOON CRESCENT,Resale,Strata,91,"11,868",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
THE ALPS RESIDENCES,"690,000",495.14,"1,394",Jun-22,TAMPINES STREET 86,Resale,Strata,46,"15,000",-,Condominium,1,99 yrs lease commencing from 2015,18,Outside Central Region,01 to 05
THE LAKEFRONT RESIDENCES,"1,393,000","1,001.05","1,392",Jun-22,LAKESIDE DRIVE,Resale,Strata,93,"14,978",-,Condominium,1,99 yrs lease commencing from 2010,22,Outside Central Region,11 to 15
LE WOOD,"950,000",807.3,"1,177",Jun-22,HINDHEDE DRIVE,Resale,Strata,75,"12,667",-,Condominium,1,99 yrs lease commencing from 1999,21,Outside Central Region,01 to 05
NEPTUNE COURT,"1,123,000","1,270.15",884,Jun-22,MARINE VISTA,Resale,Strata,118,"9,517",-,Apartment,1,99 yrs lease commencing from 1976,15,Outside Central Region,16 to 20
WATERVIEW,"2,860,000","3,778.16",757,Jun-22,TAMPINES AVENUE 1,Resale,Strata,351,"8,148",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,11 to 15
TROPICAL SPRING,"1,105,000","1,076.4","1,027",Jun-22,SIMEI STREET 4,Resale,Strata,100,"11,050",-,Condominium,1,99 yrs lease commencing from 1997,18,Outside Central Region,06 to 10
DOUBLE BAY RESIDENCES,"1,600,000","1,367.03","1,170",Jun-22,SIMEI STREET 4,Resale,Strata,127,"12,598",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,01 to 05
CHANGI GREEN,"1,190,000","1,001.05","1,189",Jun-22,UPPER CHANGI ROAD EAST,Resale,Strata,93,"12,796",-,Condominium,1,Freehold,16,Outside Central Region,01 to 05
RIVER ISLES,"1,318,000","1,140.98","1,155",Jun-22,EDGEDALE PLAINS,Resale,Strata,106,"12,434",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,11 to 15
COASTAL BREEZE RESIDENCES,"1,100,000","1,173.28",938,Jun-22,LOYANG BESAR CLOSE,Resale,Strata,109,"10,092",-,Condominium,1,99 yrs lease commencing from 2008,17,Outside Central Region,01 to 05
Q BAY RESIDENCES,"708,000",516.67,"1,370",Jun-22,TAMPINES STREET 86,Resale,Strata,48,"14,750",-,Condominium,1,99 yrs lease commencing from 2012,18,Outside Central Region,11 to 15
SPACE @ KOVAN,"650,000",419.8,"1,548",Jun-22,YIO CHU KANG ROAD,Resale,Strata,39,"16,667",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
SEASTRAND,"810,000",710.42,"1,140",Jun-22,PASIR RIS LINK,Resale,Strata,66,"12,273",-,Condominium,1,99 yrs lease commencing from 2011,18,Outside Central Region,01 to 05
PARC VISTA,"933,388","1,054.87",885,Jun-22,CORPORATION ROAD,Resale,Strata,98,"9,524",-,Condominium,1,99 yrs lease commencing from 1995,22,Outside Central Region,11 to 15
SILVERSEA,"3,580,000","1,668.42","2,146",Jun-22,MARINE PARADE ROAD,Resale,Strata,155,"23,097",-,Condominium,1,99 yrs lease commencing from 2007,15,Rest of Central Region,11 to 15
BAYSHORE PARK,"1,262,000",936.47,"1,348",Jun-22,BAYSHORE ROAD,Resale,Strata,87,"14,506",-,Condominium,1,99 yrs lease commencing from 1982,16,Outside Central Region,11 to 15
THE SKYWOODS,"755,000",527.44,"1,431",Jun-22,DAIRY FARM HEIGHTS,Resale,Strata,49,"15,408",-,Condominium,1,99 yrs lease commencing from 2012,23,Outside Central Region,06 to 10
D'BANYAN,"2,100,000","2,626.42",800,Jun-22,JALAN SENDUDOK,Resale,Strata,244,"8,607",-,Apartment,1,999 yrs lease commencing from 1885,27,Outside Central Region,01 to 05
STARS OF KOVAN,"1,260,000",742.72,"1,696",Jun-22,UPPER SERANGOON ROAD,Resale,Strata,69,"18,261",-,Apartment,1,99 yrs lease commencing from 2015,19,Outside Central Region,06 to 10
FLO RESIDENCE,"1,400,000","1,227.1","1,141",Jun-22,PUNGGOL FIELD WALK,Resale,Strata,114,"12,281",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,16 to 20
AALTO,"4,650,000","1,959.05","2,374",Jun-22,MEYER ROAD,Resale,Strata,182,"25,549",-,Condominium,1,Freehold,15,Rest of Central Region,16 to 20
ECO,"845,000",635.08,"1,331",Jun-22,BEDOK SOUTH AVENUE 3,Resale,Strata,59,"14,322",-,Condominium,1,99 yrs lease commencing from 2012,16,Outside Central Region,01 to 05
PALM ISLES,"848,000",807.3,"1,050",Jun-22,FLORA DRIVE,Resale,Strata,75,"11,307",-,Condominium,1,99 yrs lease commencing from 2011,17,Outside Central Region,01 to 05
WATERVIEW,"1,250,000","1,184.04","1,056",Jun-22,TAMPINES AVENUE 1,Resale,Strata,110,"11,364",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,01 to 05
LAKEVIEW ESTATE,"1,750,000","1,614.6","1,084",Jun-22,UPPER THOMSON ROAD,Resale,Strata,150,"11,667",-,Apartment,1,99 yrs lease commencing from 1977,20,Rest of Central Region,16 to 20
H2O RESIDENCES,"1,405,000","1,130.22","1,243",Jun-22,FERNVALE LINK,Resale,Strata,105,"13,381",-,Condominium,1,99 yrs lease commencing from 2010,28,Outside Central Region,16 to 20
WATERFRONT GOLD,"1,915,000","1,377.79","1,390",Jun-22,BEDOK RESERVOIR ROAD,Resale,Strata,128,"14,961",-,Condominium,1,99 yrs lease commencing from 2009,16,Outside Central Region,11 to 15
THE BLOSSOMVALE,"2,639,999","1,367.03","1,931",Jun-22,DUNEARN ROAD,Resale,Strata,127,"20,787",-,Condominium,1,999 yrs lease commencing from 1884,21,Rest of Central Region,01 to 05
CORALIS,"940,000",495.14,"1,898",Jun-22,JOO CHIAT ROAD,Resale,Strata,46,"20,435",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
THE SEAWIND,"1,660,000",979.52,"1,695",Jun-22,LORONG M TELOK KURAU,Resale,Strata,91,"18,242",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
REGENTVILLE,"830,000",979.52,847,Jun-22,HOUGANG STREET 92,Resale,Strata,91,"9,121",-,Apartment,1,99 yrs lease commencing from 1996,19,Outside Central Region,01 to 05
THE SHORE RESIDENCES,"990,000",592.02,"1,672",Jun-22,AMBER ROAD,Resale,Strata,55,"18,000",-,Condominium,1,103 yrs lease commencing from 2009,15,Rest of Central Region,06 to 10
ROSEWOOD,"1,010,000","1,184.04",853,Jun-22,ROSEWOOD DRIVE,Resale,Strata,110,"9,182",-,Condominium,1,99 yrs lease commencing from 2000,25,Outside Central Region,06 to 10
FOREST WOODS,"1,700,000",947.23,"1,795",Jun-22,LORONG LEW LIAN,Resale,Strata,88,"19,318",-,Condominium,1,99 yrs lease commencing from 2016,19,Outside Central Region,11 to 15
SANCTUARY GREEN,"1,190,000",828.83,"1,436",Jun-22,TANJONG RHU ROAD,Resale,Strata,77,"15,455",-,Condominium,1,99 yrs lease commencing from 1997,15,Rest of Central Region,06 to 10
PINE GROVE,"1,250,000","1,323.97",944,Jun-22,PINE GROVE,Resale,Strata,123,"10,163",-,Condominium,1,99 yrs lease commencing from 1984,21,Rest of Central Region,11 to 15
BOTANIQUE AT BARTLEY,"1,250,000",731.95,"1,708",Jun-22,UPPER PAYA LEBAR ROAD,Resale,Strata,68,"18,382",-,Condominium,1,99 yrs lease commencing from 2014,19,Outside Central Region,11 to 15
STILL MANSIONS,"1,400,000","1,097.93","1,275",Jun-22,STILL ROAD,Resale,Strata,102,"13,725",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
SKY VUE,"1,300,000",678.13,"1,917",Jun-22,BISHAN STREET 15,Resale,Strata,63,"20,635",-,Condominium,1,99 yrs lease commencing from 2013,20,Rest of Central Region,21 to 25
NORTH PARK RESIDENCES,"880,000",548.96,"1,603",Jun-22,YISHUN CENTRAL 1,Resale,Strata,51,"17,255",-,Apartment,1,99 yrs lease commencing from 2015,27,Outside Central Region,11 to 15
PARC OASIS,"1,230,000","1,227.1","1,002",Jun-22,JURONG EAST AVENUE 1,Resale,Strata,114,"10,789",-,Condominium,1,99 yrs lease commencing from 1991,22,Outside Central Region,01 to 05
HERITAGE EAST,"670,000",462.85,"1,448",Jun-22,EAST COAST ROAD,Resale,Strata,43,"15,581",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
ARCHIPELAGO,"1,655,000","1,184.04","1,398",Jun-22,BEDOK RESERVOIR ROAD,Resale,Strata,110,"15,045",-,Condominium,1,99 yrs lease commencing from 2011,16,Outside Central Region,01 to 05
THE TAPESTRY,"1,185,000",742.72,"1,595",Jun-22,TAMPINES STREET 86,Resale,Strata,69,"17,174",-,Condominium,1,99 yrs lease commencing from 2017,18,Outside Central Region,11 to 15
LA FIESTA,"970,000",731.95,"1,325",Jun-22,SENGKANG SQUARE,Resale,Strata,68,"14,265",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,06 to 10
WATERTOWN,"900,000",570.49,"1,578",Jun-22,PUNGGOL CENTRAL,Resale,Strata,53,"16,981",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
WOODHAVEN,"926,000",850.36,"1,089",Jun-22,WOODGROVE AVENUE,Resale,Strata,79,"11,722",-,Condominium,1,99 yrs lease commencing from 2011,25,Outside Central Region,01 to 05
WATERFRONT KEY,"1,850,000","1,442.38","1,283",Jun-22,BEDOK RESERVOIR ROAD,Resale,Strata,134,"13,806",-,Condominium,1,99 yrs lease commencing from 2007,16,Outside Central Region,01 to 05
DE CASALLE,"1,860,000","1,237.86","1,503",Jun-22,LORONG N TELOK KURAU,Resale,Strata,115,"16,174",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
